Cust_Age,Qualification,Work_exp,Anual_Income,House_Mortgage,Fam_size,CreditCard_usage,AvgCC,Brokerage_Acc,CD_Acc,Banking_type,Personal_loan,ID_Cust
66,level_3,40,1487.7,0.0,3,Inactive,21.25764,NO,NO,Offline,Denied,37
43,level_3,17,3613.5,0.0,3,Active,42.51528,NO,NO,Offline,Denied,38
58,level_2,32,1771.2,9637.2,2,Inactive,7.08588,NO,NO,Online,Denied,39
59,level_1,32,2763.9,10416.6,5,Inactive,63.77292,NO,NO,Offline,Denied,40
38,level_1,10,2763.9,10841.4,2,Inactive,141.7176,NO,NO,Offline,Denied,41
49,level_1,23,2267.1,0.0,2,Active,70.8588,NO,NO,Offline,Denied,42
58,level_1,32,3613.5,0.0,5,Inactive,106.2882,NO,NO,Offline,Denied,43
64,level_1,37,3543.3,0.0,4,Inactive,170.06112,NO,NO,Online,Denied,44
66,level_3,38,2480.4,0.0,2,Inactive,35.4294,NO,NO,Online,Denied,45
67,level_3,39,3755.7,0.0,2,Inactive,177.147,NO,NO,Online,Denied,46
41,level_1,15,2905.2,0.0,3,Inactive,120.45996000000001,NO,NO,Offline,Denied,47
32,level_2,6,3188.7,0.0,2,Inactive,127.54584,NO,NO,Online,Denied,48
63,level_3,37,2338.2,0.0,4,Inactive,7.08588,NO,NO,Online,Denied,49
43,level_3,16,3117.6,0.0,2,Inactive,21.25764,NO,NO,Offline,Denied,50
34,level_1,7,9495.0,0.0,3,Inactive,233.83403999999996,NO,NO,Online,Denied,51
31,level_3,4,13038.3,43365.6,5,Inactive,155.88936,NO,NO,Online,Applied,52
38,level_1,11,11196.0,8077.5,3,Active,552.69864,NO,NO,Online,Denied,53
32,level_2,5,4889.7,0.0,2,Inactive,56.68704,YES,NO,Online,Denied,54
42,level_1,15,11408.4,0.0,3,Active,233.83403999999996,YES,NO,Offline,Denied,55
35,level_3,9,3755.7,0.0,2,Inactive,148.80348,NO,NO,Offline,Denied,56
49,level_2,20,921.6,0.0,4,Inactive,47.475396,NO,NO,Online,Denied,57
45,level_3,18,6306.3,0.0,4,Active,35.4294,NO,NO,Online,Denied,58
44,level_1,18,13392.0,0.0,3,Inactive,538.52688,NO,NO,Online,Denied,59
28,level_2,0,12683.7,0.0,5,Inactive,148.80348,NO,NO,Offline,Applied,60
65,level_3,37,11691.9,0.0,5,Inactive,361.37987999999996,NO,NO,Offline,Applied,61
37,level_2,11,1771.2,0.0,3,Inactive,70.8588,NO,NO,Offline,Denied,62
65,level_2,39,2905.2,0.0,5,Inactive,92.11644000000001,NO,NO,Online,Denied,63
66,level_3,34,3755.7,0.0,5,Active,118.33419599999999,NO,NO,Offline,Denied,64
64,level_3,36,4464.0,0.0,2,Inactive,177.147,NO,NO,Offline,Denied,65
61,level_3,33,4818.6,9070.2,3,Inactive,162.97523999999999,YES,NO,Online,Denied,66
28,level_1,2,850.5,0.0,5,Inactive,70.8588,NO,NO,Online,Denied,67
37,level_2,10,5739.3,7369.2,4,Inactive,42.51528,NO,NO,Online,Denied,68
29,level_3,3,1275.3,0.0,2,Inactive,28.34352,NO,NO,Offline,Denied,69
55,level_1,29,1417.5,0.0,5,Inactive,14.17176,NO,NO,Online,Denied,70
32,level_1,6,12683.7,10062.0,4,Inactive,347.20812,NO,NO,Online,Applied,71
61,level_2,35,4180.5,0.0,5,Inactive,85.03056,NO,NO,Online,Denied,72
41,level_2,14,2196.9,6660.9,3,Active,99.20231999999999,NO,NO,Online,Denied,73
55,level_1,29,1417.5,0.0,2,Active,14.17176,YES,YES,Online,Denied,74
53,level_1,25,10486.8,0.0,2,Inactive,70.8588,NO,NO,Offline,Denied,75
45,level_2,18,1487.7,0.0,3,Active,99.20231999999999,NO,NO,Online,Denied,76
33,level_1,6,4535.1,0.0,3,Active,7.08588,NO,NO,Online,Denied,77
39,level_2,13,8148.6,0.0,2,Active,56.68704,NO,NO,Online,Denied,78
64,level_1,37,3543.3,0.0,4,Inactive,170.06112,NO,NO,Online,Denied,79
54,level_1,27,11479.5,0.0,2,Inactive,573.95628,NO,NO,Online,Denied,80
30,level_2,3,3188.7,6732.0,5,Inactive,120.45996000000001,NO,NO,Offline,Denied,81
54,level_2,25,3046.5,11691.9,4,Active,70.8588,NO,YES,Online,Denied,82
33,level_1,6,12045.6,9707.4,3,Inactive,474.75396,NO,NO,Online,Denied,83
45,level_1,19,11408.4,0.0,3,Inactive,531.441,NO,NO,Offline,Denied,84
65,level_1,38,3826.8,0.0,4,Inactive,155.88936,NO,NO,Online,Denied,85
47,level_1,21,4180.5,10982.7,3,Inactive,177.147,NO,NO,Online,Denied,86
32,level_3,5,6022.8,0.0,5,Inactive,127.54584,NO,NO,Online,Denied,87
26,level_2,0,2480.4,0.0,4,Inactive,7.08588,YES,NO,Online,Denied,88
40,level_1,14,5243.4,0.0,3,Inactive,0.0,YES,NO,Online,Denied,89
47,level_3,15,1983.6,0.0,2,Inactive,53.1441,YES,NO,Offline,Denied,90
47,level_1,21,2976.3,0.0,3,Inactive,177.147,YES,NO,Online,Denied,91
46,level_1,18,3826.8,14313.6,2,Inactive,198.40463999999997,NO,NO,Offline,Denied,92
48,level_2,19,1701.0,0.0,4,Inactive,47.475396,NO,NO,Online,Denied,93
36,level_1,10,3188.7,0.0,2,Inactive,94.242204,NO,NO,Offline,Denied,94
58,level_3,30,5739.3,0.0,5,Inactive,184.23288000000002,NO,NO,Online,Denied,95
44,level_2,15,1701.0,0.0,4,Active,70.8588,NO,NO,Online,Denied,96
47,level_2,18,3755.7,7936.2,4,Inactive,177.147,NO,NO,Offline,Denied,97
53,level_2,26,4392.9,15660.0,2,Inactive,92.11644000000001,NO,NO,Online,Denied,98
36,level_3,9,2905.2,0.0,2,Inactive,177.147,NO,NO,Offline,Denied,99
31,level_1,3,8007.3,0.0,3,Active,14.17176,NO,NO,Online,Denied,100
39,level_1,11,2125.8,10345.5,3,Inactive,21.25764,NO,NO,Offline,Denied,101
45,level_3,18,2976.3,0.0,2,Inactive,21.25764,NO,NO,Online,Denied,102
53,level_1,27,2763.9,12896.1,3,Active,56.68704,NO,NO,Offline,Denied,103
59,level_1,32,2834.1,0.0,4,Active,120.45996000000001,NO,NO,Online,Denied,104
69,level_2,42,5314.5,12896.1,5,Inactive,7.08588,NO,NO,Online,Denied,105
62,level_3,30,2196.9,0.0,2,Inactive,106.2882,NO,NO,Online,Denied,106
38,level_2,12,2692.8,0.0,2,Inactive,106.2882,NO,NO,Offline,Denied,107
40,level_2,12,4180.5,0.0,3,Inactive,170.06112,NO,NO,Offline,Denied,108
35,level_2,9,1275.3,0.0,5,Inactive,28.34352,NO,NO,Online,Denied,109
54,level_2,26,12896.1,0.0,3,Inactive,99.20231999999999,NO,NO,Online,Applied,110
47,level_1,21,2338.2,7652.7,4,Inactive,35.4294,NO,NO,Online,Denied,111
51,level_2,24,3188.7,0.0,4,Inactive,120.45996000000001,YES,NO,Online,Denied,112
39,level_2,12,8715.6,17927.1,5,Active,219.66228,NO,YES,Online,Applied,113
64,level_1,36,3117.6,0.0,3,Inactive,21.25764,NO,NO,Offline,Denied,114
59,level_1,31,3613.5,0.0,2,Active,99.20231999999999,NO,NO,Online,Denied,115
45,level_2,19,2834.1,0.0,4,Inactive,42.51528,NO,NO,Online,Denied,116
49,level_1,23,1983.6,0.0,5,Inactive,42.51528,NO,NO,Online,Denied,117
66,level_3,38,11904.3,0.0,5,Inactive,403.89516000000003,NO,NO,Online,Applied,118
50,level_3,23,708.3,0.0,3,Active,49.60115999999999,NO,NO,Online,Denied,119
55,level_3,28,12400.2,0.0,4,Active,255.09168,NO,YES,Online,Applied,120
50,level_2,22,5669.1,0.0,3,Inactive,170.06112,NO,NO,Online,Denied,121
42,level_1,14,3755.7,0.0,2,Active,141.7176,NO,NO,Online,Denied,122
59,level_3,33,3188.7,13817.7,2,Inactive,127.54584,NO,NO,Offline,Denied,123
37,level_1,9,3188.7,0.0,2,Active,141.7176,NO,NO,Online,Denied,124
32,level_2,6,3472.2,13887.9,4,Active,49.60115999999999,NO,NO,Offline,Denied,125
34,level_3,6,3543.3,0.0,5,Active,148.80348,YES,YES,Online,Denied,126
60,level_3,28,4109.4,0.0,4,Inactive,141.7176,NO,NO,Online,Denied,127
57,level_1,29,9919.8,0.0,3,Inactive,191.31876,NO,NO,Online,Denied,128
47,level_1,21,10700.1,23241.6,3,Inactive,233.83403999999996,NO,NO,Offline,Denied,129
50,level_1,23,1062.9,0.0,5,Inactive,56.68704,NO,NO,Online,Denied,130
58,level_3,31,3755.7,5526.9,3,Inactive,113.37408,NO,NO,Offline,Denied,131
55,level_1,27,7156.8,0.0,5,Inactive,347.20812,NO,NO,Online,Denied,132
32,level_1,4,13746.6,0.0,3,Active,318.8646,NO,NO,Offline,Denied,133
50,level_1,22,6022.8,14384.7,4,Inactive,77.94468,NO,NO,Online,Denied,134
65,level_1,39,2834.1,8361.0,2,Active,56.68704,NO,NO,Offline,Denied,135
58,level_3,26,3613.5,0.0,4,Inactive,141.7176,NO,NO,Online,Denied,136
35,level_1,7,3826.8,9990.9,5,Inactive,14.17176,YES,NO,Offline,Denied,137
36,level_1,10,2692.8,0.0,2,Inactive,94.242204,YES,NO,Online,Denied,138
32,level_3,5,5172.3,0.0,4,Inactive,184.23288000000002,NO,NO,Online,Denied,139
32,level_1,5,2976.3,13038.3,2,Inactive,70.8588,NO,NO,Offline,Denied,140
33,level_1,6,9353.7,0.0,2,Inactive,269.26344,NO,NO,Online,Denied,141
62,level_1,34,2834.1,0.0,2,Inactive,113.37408,NO,NO,Online,Denied,142
36,level_2,10,5881.5,10486.8,3,Inactive,141.7176,NO,NO,Offline,Denied,143
54,level_1,28,10557.9,0.0,3,Inactive,28.34352,NO,NO,Offline,Denied,144
64,level_3,36,3117.6,0.0,3,Inactive,70.8588,NO,NO,Offline,Denied,145
54,level_1,28,1417.5,0.0,2,Inactive,21.25764,NO,NO,Offline,Denied,146
53,level_1,25,5669.1,0.0,2,Inactive,347.20812,NO,NO,Offline,Denied,147
60,level_3,32,2976.3,11196.0,4,Active,99.20231999999999,NO,NO,Offline,Denied,148
56,level_2,29,5598.0,0.0,5,Inactive,269.26344,YES,NO,Online,Denied,149
61,level_1,35,6448.5,0.0,3,Active,113.37408,YES,NO,Offline,Denied,150
32,level_1,6,13038.3,0.0,2,Inactive,425.1528,NO,NO,Online,Denied,151
63,level_3,31,10912.5,24871.5,4,Active,531.441,NO,YES,Online,Applied,152
36,level_1,10,2905.2,0.0,2,Active,94.242204,NO,NO,Offline,Denied,153
62,level_1,36,708.3,0.0,3,Active,70.8588,NO,NO,Online,Denied,154
31,level_1,3,708.3,6165.0,5,Active,28.34352,NO,NO,Online,Denied,155
40,level_3,8,5031.0,0.0,5,Inactive,127.54584,NO,NO,Online,Denied,156
45,level_1,19,4251.6,0.0,3,Inactive,177.147,YES,NO,Offline,Denied,157
54,level_2,28,3472.2,0.0,5,Inactive,77.94468,NO,NO,Online,Denied,158
31,level_3,4,638.1,6093.9,5,Active,35.4294,NO,NO,Online,Denied,159
32,level_1,5,3613.5,0.0,2,Inactive,70.8588,NO,NO,Online,Denied,160
55,level_1,29,1771.2,0.0,3,Inactive,28.34352,NO,NO,Online,Denied,161
38,level_1,12,6589.8,0.0,3,Active,155.88936,NO,NO,Online,Denied,162
56,level_1,28,3401.1,0.0,2,Inactive,14.17176,NO,NO,Online,Denied,163
41,level_1,13,5739.3,0.0,3,Inactive,198.40463999999997,NO,NO,Online,Denied,164
45,level_3,18,6022.8,20336.4,2,Inactive,283.4352,NO,NO,Online,Denied,165
36,level_1,10,1771.2,0.0,5,Inactive,70.8588,NO,NO,Online,Denied,166
33,level_1,6,4109.4,0.0,3,Active,177.147,NO,NO,Offline,Denied,167
60,level_1,32,4606.2,15731.1,4,Inactive,177.147,NO,NO,Online,Denied,168
58,level_3,26,2692.8,7794.9,4,Inactive,70.8588,YES,NO,Online,Denied,169
42,level_2,15,3046.5,0.0,3,Active,77.94468,NO,NO,Offline,Denied,170
40,level_2,12,3046.5,0.0,5,Active,85.03056,NO,NO,Offline,Denied,171
61,level_3,35,5951.7,0.0,2,Inactive,127.54584,NO,NO,Online,Denied,172
51,level_3,25,3755.7,12825.0,3,Inactive,70.8588,NO,NO,Offline,Denied,173
47,level_1,20,10912.5,0.0,3,Inactive,198.40463999999997,YES,NO,Online,Denied,174
47,level_2,19,2125.8,0.0,4,Active,35.4294,NO,NO,Online,Denied,175
49,level_2,22,4322.7,11904.3,4,Active,191.31876,NO,NO,Online,Denied,176
31,level_2,4,8503.2,0.0,2,Active,290.52108,YES,YES,Offline,Applied,177
61,level_1,35,2834.1,0.0,5,Inactive,28.34352,NO,NO,Offline,Denied,178
54,level_3,26,3117.6,10486.8,3,Active,56.68704,NO,NO,Offline,Denied,179
32,level_1,4,8007.3,0.0,3,Inactive,14.17176,NO,NO,Online,Denied,180
52,level_2,25,2692.8,8503.2,2,Active,92.11644000000001,NO,NO,Offline,Denied,181
42,level_1,16,8857.8,0.0,3,Active,134.63172,NO,NO,Offline,Denied,182
47,level_1,20,10982.7,0.0,2,Active,496.01160000000004,NO,NO,Online,Denied,183
55,level_2,27,2692.8,10203.3,5,Inactive,198.40463999999997,YES,NO,Online,Denied,184
54,level_2,26,1983.6,6377.4,3,Active,49.60115999999999,NO,NO,Online,Denied,185
43,level_1,16,10982.7,0.0,2,Inactive,496.01160000000004,NO,NO,Offline,Denied,186
30,level_3,3,11408.4,29902.5,5,Active,120.45996000000001,NO,YES,Online,Applied,187
34,level_2,5,4464.0,0.0,5,Inactive,141.7176,YES,NO,Online,Denied,188
27,level_3,0,3755.7,0.0,3,Active,113.37408,NO,NO,Online,Denied,189
27,level_1,0,7014.6,22887.0,2,Inactive,134.63172,NO,NO,Offline,Denied,190
46,level_2,17,1771.2,0.0,4,Active,70.8588,NO,NO,Offline,Denied,191
50,level_1,24,5739.3,0.0,4,Inactive,49.60115999999999,NO,NO,Offline,Denied,192
50,level_3,22,6377.4,14526.0,3,Inactive,56.68704,NO,NO,Offline,Denied,193
43,level_1,15,2692.8,6448.5,3,Inactive,49.60115999999999,NO,NO,Online,Denied,194
39,level_3,11,2480.4,0.0,3,Inactive,56.68704,NO,NO,Offline,Denied,195
61,level_1,35,3046.5,0.0,5,Inactive,92.11644000000001,NO,NO,Online,Denied,196
43,level_1,17,10912.5,0.0,2,Active,120.45996000000001,NO,NO,Offline,Denied,197
51,level_2,23,7652.7,0.0,3,Inactive,170.06112,NO,NO,Online,Denied,198
30,level_1,3,2054.7,9566.1,5,Inactive,56.68704,NO,NO,Online,Denied,199
56,level_1,28,12967.2,31320.0,2,Inactive,70.8588,NO,NO,Offline,Denied,200
49,level_2,21,4606.2,0.0,2,Inactive,106.2882,YES,NO,Online,Denied,201
35,level_1,8,9423.9,0.0,2,Inactive,0.0,NO,NO,Online,Denied,202
31,level_2,3,2125.8,11124.9,5,Inactive,21.25764,NO,NO,Offline,Denied,203
33,level_2,7,2692.8,12896.1,2,Active,127.54584,NO,YES,Online,Denied,204
47,level_2,18,5669.1,0.0,4,Inactive,189.192996,NO,NO,Offline,Denied,205
46,level_1,20,5031.0,14668.2,5,Inactive,134.63172,NO,NO,Online,Denied,206
52,level_1,24,2054.7,0.0,5,Inactive,7.08588,NO,NO,Offline,Denied,207
35,level_3,8,10274.4,0.0,2,Inactive,191.31876,NO,NO,Online,Applied,208
61,level_1,33,7794.9,18706.5,4,Inactive,311.77872,NO,NO,Online,Denied,209
65,level_3,38,9566.1,12967.2,3,Inactive,269.26344,NO,NO,Offline,Applied,210
53,level_2,26,3897.0,16722.9,2,Active,92.11644000000001,NO,NO,Offline,Denied,211
59,level_3,32,5669.1,0.0,3,Inactive,0.0,NO,NO,Offline,Denied,212
63,level_1,35,6448.5,0.0,3,Inactive,141.7176,NO,NO,Online,Denied,213
64,level_1,37,708.3,0.0,4,Inactive,35.4294,NO,NO,Online,Denied,214
51,level_1,23,5881.5,0.0,2,Active,21.25764,NO,NO,Online,Denied,215
65,level_2,37,567.0,6873.3,2,Inactive,56.68704,NO,NO,Online,Denied,216
57,level_2,30,2763.9,0.0,3,Inactive,134.63172,NO,NO,Offline,Denied,217
39,level_1,12,12400.2,21044.7,3,Active,552.69864,NO,NO,Online,Denied,218
32,level_2,3,10629.0,0.0,5,Inactive,354.294,NO,NO,Online,Applied,219
47,level_1,19,2834.1,0.0,2,Active,14.17176,YES,YES,Online,Denied,220
66,level_1,39,5172.3,0.0,4,Inactive,170.06112,NO,NO,Online,Denied,221
32,level_2,3,12187.8,0.0,4,Active,240.91992000000002,NO,NO,Offline,Applied,222
37,level_2,9,13321.8,18352.8,3,Inactive,262.17756,NO,NO,Online,Applied,223
32,level_1,5,2125.8,11196.0,5,Inactive,56.68704,NO,NO,Online,Denied,224
64,level_2,38,7014.6,0.0,5,Inactive,120.45996000000001,NO,NO,Online,Denied,225
57,level_3,30,4535.1,0.0,3,Inactive,162.97523999999999,NO,NO,Offline,Denied,226
58,level_2,32,6306.3,6377.4,5,Inactive,70.8588,YES,NO,Online,Denied,227
68,level_3,40,2125.8,6093.9,3,Inactive,49.60115999999999,NO,NO,Offline,Denied,228
36,level_1,10,6377.4,0.0,3,Inactive,191.31876,NO,NO,Online,Denied,229
62,level_1,35,4535.1,0.0,3,Inactive,198.40463999999997,NO,NO,Offline,Denied,230
59,level_1,31,12400.2,30398.4,3,Active,35.4294,NO,NO,Online,Denied,231
63,level_2,37,2196.9,0.0,4,Active,28.34352,NO,NO,Offline,Denied,232
46,level_1,19,5810.4,0.0,3,Active,28.34352,NO,NO,Online,Denied,233
42,level_3,15,5881.5,0.0,2,Inactive,70.8588,NO,NO,Offline,Denied,234
54,level_2,26,1983.6,6377.4,3,Active,49.60115999999999,NO,NO,Online,Denied,235
48,level_3,20,10770.3,26501.4,2,Active,524.35512,NO,YES,Online,Applied,236
44,level_2,15,1487.7,0.0,4,Inactive,70.8588,NO,NO,Online,Denied,237
39,level_1,12,1983.6,0.0,5,Inactive,120.45996000000001,YES,YES,Online,Denied,238
47,level_1,20,2125.8,0.0,2,Inactive,7.08588,NO,NO,Online,Denied,239
60,level_1,33,2409.3,5881.5,4,Inactive,14.17176,NO,NO,Online,Denied,240
66,level_3,39,7298.1,0.0,2,Active,56.68704,NO,NO,Online,Denied,241
45,level_1,17,5810.4,0.0,4,Inactive,7.08588,NO,NO,Online,Denied,242
50,level_1,24,5243.4,0.0,4,Inactive,49.60115999999999,YES,NO,Online,Denied,243
28,level_1,2,9566.1,0.0,2,Inactive,106.2882,NO,NO,Offline,Denied,244
65,level_1,39,2905.2,0.0,3,Inactive,77.94468,NO,NO,Offline,Denied,245
52,level_2,26,2976.3,10700.1,5,Inactive,77.94468,NO,NO,Online,Denied,246
58,level_3,26,6518.7,0.0,3,Active,318.8646,YES,NO,Offline,Denied,247
59,level_1,31,5598.0,0.0,4,Active,311.77872,NO,NO,Offline,Denied,248
58,level_1,32,4535.1,0.0,5,Inactive,106.2882,NO,NO,Online,Denied,249
41,level_2,13,1771.2,0.0,4,Inactive,14.17176,NO,NO,Online,Denied,250
34,level_2,8,5526.9,0.0,5,Inactive,7.08588,NO,NO,Online,Denied,251
50,level_2,21,5526.9,0.0,4,Active,141.7176,NO,NO,Online,Denied,252
46,level_1,20,8007.3,0.0,3,Active,233.83403999999996,NO,NO,Online,Denied,253
59,level_1,31,3613.5,0.0,2,Active,99.20231999999999,NO,NO,Online,Denied,254
39,level_3,7,6660.9,16439.4,5,Inactive,127.54584,NO,NO,Online,Denied,255
67,level_3,35,1629.9,0.0,2,Inactive,106.2882,NO,NO,Online,Denied,256
60,level_1,33,6732.0,0.0,2,Inactive,184.23288000000002,NO,NO,Online,Denied,257
39,level_1,13,10841.4,0.0,3,Active,460.5822,NO,NO,Online,Denied,258
35,level_1,9,4535.1,0.0,5,Inactive,240.91992000000002,NO,NO,Offline,Denied,259
66,level_3,40,4109.4,0.0,2,Inactive,127.54584,NO,NO,Online,Denied,260
52,level_3,26,12683.7,0.0,2,Active,205.49052,NO,NO,Offline,Applied,261
33,level_1,7,7014.6,0.0,2,Inactive,283.4352,NO,NO,Online,Denied,262
67,level_1,40,4180.5,0.0,4,Inactive,170.06112,NO,NO,Offline,Denied,263
50,level_3,22,2480.4,0.0,2,Inactive,99.20231999999999,NO,NO,Online,Denied,264
31,level_1,5,5881.5,0.0,4,Active,106.2882,NO,NO,Online,Denied,265
32,level_1,5,5243.4,0.0,5,Active,155.88936,YES,NO,Offline,Denied,266
59,level_1,32,5314.5,16722.9,3,Inactive,262.17756,NO,NO,Online,Denied,267
33,level_2,7,2976.3,0.0,2,Active,170.06112,NO,NO,Online,Denied,268
32,level_3,6,2976.3,0.0,2,Inactive,148.80348,NO,NO,Online,Denied,269
48,level_3,21,8148.6,0.0,3,Active,297.60696,YES,YES,Online,Applied,270
44,level_1,18,5031.0,7511.4,4,Inactive,165.101004,YES,NO,Online,Denied,271
26,level_3,-2,5669.1,0.0,3,Inactive,113.37408,NO,NO,Online,Denied,272
44,level_3,18,3046.5,11196.0,2,Inactive,21.25764,NO,NO,Offline,Denied,273
34,level_2,8,5243.4,18210.6,5,Active,7.08588,NO,NO,Offline,Denied,274
60,level_2,34,4464.0,0.0,5,Inactive,113.37408,NO,NO,Offline,Denied,275
56,level_1,28,9919.8,0.0,2,Inactive,205.49052,NO,NO,Online,Denied,276
36,level_3,8,2054.7,0.0,3,Active,141.7176,NO,NO,Online,Denied,277
28,level_1,2,4251.6,0.0,5,Active,113.37408,NO,YES,Online,Denied,278
60,level_3,32,3117.6,0.0,4,Inactive,155.88936,NO,NO,Offline,Denied,279
41,level_2,13,2125.8,0.0,4,Inactive,14.17176,NO,NO,Offline,Denied,280
60,level_2,31,3472.2,0.0,5,Inactive,177.147,NO,NO,Online,Denied,281
52,level_2,23,4535.1,0.0,2,Inactive,189.192996,NO,NO,Offline,Denied,282
61,level_2,32,3472.2,0.0,5,Inactive,177.147,NO,NO,Online,Denied,283
54,level_2,27,5739.3,0.0,5,Inactive,269.26344,NO,NO,Offline,Denied,284
62,level_2,35,3472.2,0.0,4,Active,35.4294,NO,NO,Online,Denied,285
50,level_1,23,13534.2,16368.3,3,Active,198.40463999999997,NO,NO,Offline,Denied,286
53,level_1,27,850.5,0.0,3,Active,28.34352,NO,NO,Offline,Denied,287
39,level_3,7,6660.9,16439.4,5,Inactive,127.54584,NO,NO,Online,Denied,288
49,level_1,21,4251.6,0.0,4,Active,148.80348,NO,NO,Online,Denied,289
67,level_3,39,5810.4,17856.0,5,Inactive,170.06112,NO,NO,Online,Denied,290
51,level_3,24,2692.8,0.0,2,Inactive,99.20231999999999,NO,NO,Offline,Denied,291
51,level_2,25,3046.5,0.0,2,Active,113.37408,NO,NO,Online,Denied,292
45,level_2,18,6660.9,0.0,5,Inactive,77.94468,NO,NO,Offline,Denied,293
63,level_1,37,10982.7,0.0,2,Inactive,205.49052,NO,NO,Online,Denied,294
52,level_1,26,6022.8,10203.3,2,Inactive,0.0,NO,NO,Offline,Denied,295
47,level_1,21,6022.8,0.0,3,Inactive,226.74816,YES,NO,Online,Denied,296
50,level_3,22,4180.5,17076.6,2,Inactive,99.20231999999999,NO,NO,Online,Denied,297
40,level_3,14,4392.9,18069.3,2,Inactive,106.2882,NO,NO,Online,Denied,298
46,level_1,20,6589.8,7156.8,5,Inactive,56.68704,NO,NO,Online,Denied,299
25,level_2,-2,5739.3,0.0,3,Inactive,127.54584,NO,NO,Offline,Denied,300
44,level_1,16,5243.4,0.0,2,Inactive,198.40463999999997,NO,NO,Online,Denied,301
32,level_3,6,6732.0,10345.5,2,Active,276.34932,NO,NO,Offline,Applied,302
32,level_2,3,2338.2,6022.8,5,Inactive,106.2882,NO,NO,Offline,Denied,303
37,level_1,10,6660.9,12329.1,2,Inactive,0.0,NO,NO,Online,Denied,304
68,level_2,42,2480.4,12187.8,2,Inactive,134.63172,NO,NO,Online,Denied,305
62,level_1,36,1558.8,0.0,3,Active,70.8588,YES,YES,Online,Denied,306
64,level_2,38,7085.7,0.0,5,Inactive,120.45996000000001,NO,NO,Online,Denied,307
55,level_3,29,4464.0,0.0,3,Inactive,70.8588,NO,NO,Online,Denied,308
38,level_1,12,6306.3,0.0,3,Inactive,191.31876,NO,NO,Offline,Denied,309
